STATE,Median personal earning white,Median personal earning black,Difference_Income_Personal,White poverty rate,Black poverty rate,Difference_poverty,Unemployment white,Unemployment black,Difference_unemployment,White able to work remotely,Black able to work remotely,Difference_Remote_Work,White Diabetes,Black Diabetes,Difference_Diabetes,White Obese,Black Obese,Difference_Obese,"Primary Care Physicians (per 100,000 residents)",White Smokers,Black Smokers,Difference_Smokers,White no health insurance,Black no health insurance,Difference_No_Insurance,White no exercise,Black no exercise,Difference_no_exercise,White fair or poor health,Black fair or poor health,Difference_fair_or_poor_health,White vegetable less than one day,Black vegetable less than one day,Difference_no_vegetable,Black health index,Black education index,Black income index,White health index,White education index,White income index,Difference education index,Education spending,GDP per capita,Public assistance per capita,Minimum wage,Median peronal earning,Poverty rate,Remote rate
Alabama,31662,22433,9229,13.00476849,30.26661755,17.26184906,5.554755136,11.50522893,5.950473794,61.8591807,48.33553989,13.52364082,12.7,16.8,4.1,32.3,46.4,14.1,103.5,21.8,20,-1.8,8,12.2,4.2,31,35.1,4.1,21.5,25.9,4.4,22.9,43.3,20.4,2.873441319,3.695818616,2.442187402,4.147151408,4.673199018,4.894758236,0.977380402,9696,42688.71,6.585745689,,28864.51983,18.49565898,57.63754841
Alaska,41879,27003,14876,6.496342961,16.451573,9.955230039,6.167538604,,,62.15741989,52.56233324,9.595086649,6.5,,,28.2,39.3,11.1,114.2,15.7,,,10.3,10.3,0,19.4,27.9,8.5,11.6,37.9,26.3,15.2,38.5,23.3,,,,5.601614546,5.266660079,7.049545107,,17725,69425.01,166.5691628,9.8,36577.91741,10.34067969,59.08739846
Arizona,35370,26466,8904,11.0366354,24.00682649,12.97019109,5.600465148,10.49732908,4.896863932,69.32530409,61.11081003,8.214494056,9.5,11.9,2.4,25.3,31.5,6.2,99.7,14.7,14.8,0.1,6.1,9,2.9,22.4,26.3,3.9,15.6,20.6,5,20.2,28.8,8.6,4.360200538,4.415418967,4.310687535,5.739059782,5.363295254,5.495628267,0.947876287,8238,44596.72,31.927054,10,30686.22761,17.37251572,60.81919721
Arkansas,29783,21467,8316,14.50135582,33.85721634,19.35586052,4.94098778,10.71115786,5.77017008,59.61243555,46.799717,12.81271855,12.5,17.1,4.6,33.6,40.3,6.7,105.3,25,27.3,2.3,7.6,10.2,2.6,34.7,34.7,0,23.2,25.7,2.5,25,46.9,21.9,2.564869158,3.625704633,1.817584147,4.272177121,4.382344989,4.008139972,0.756640356,10138,40641.87,184.6750592,8.5,28117.17686,19.06628842,55.82705184
California,44344,31258,13086,10.03632971,22.48144386,12.44511415,6.192211446,11.92340917,5.731197724,73.23218913,62.99328521,10.23890391,8.3,13.7,5.4,22.3,30.6,8.3,123.3,13.3,14.5,1.2,4.5,6.3,1.8,17.3,19.9,2.6,12.8,20.2,7.4,15,34.2,19.2,3.783976044,4.664713978,5.299436202,5.762740357,6.223212454,7.107685709,1.558498476,12497,67670.8,254.6697241,10.5,32768.98594,15.34368783,60.69257347
Colorado,37842,30200,7642,8.247861276,19.91380674,11.66594546,4.531674166,9.714240102,5.182565936,69.85107284,58.18310556,11.66796729,5.7,11.6,5.9,18.7,23.1,4.4,123.2,15.1,23.6,8.5,5.4,6.6,1.2,15.6,19.2,3.6,11,21.9,10.9,16,33.8,17.8,4.450328772,4.219898472,3.642351403,5.933698024,6.373093676,5.803388037,2.153195204,10201,59618.5,0,9.3,35441.8999,11.49050363,64.88478779
Connecticut,45599,30269,15330,6.063987546,20.47045846,14.40647091,5.244740257,12.76731455,7.522574293,70.05972042,55.31424388,14.74547653,8.3,14.4,6.1,23.7,36.7,13,169,12.9,16.9,4,3.3,8.9,5.6,20.3,29.3,9,12.7,17.4,4.7,17.9,29.1,11.2,4.90766624,4.2512638,4.292768875,6.268280513,6.733496795,7.197036996,2.482232995,20634,74542.31,108.0513277,10.1,40436.49043,10.54053914,65.99188312
Delaware,38737,29400,9337,7.460181673,20.15297366,12.69279199,5.496239934,6.813387912,1.317147978,66.4849005,56.24358887,10.24131163,11.1,15.1,4,28.9,32.7,3.8,114.3,17.8,17.7,-0.1,4.4,6,1.6,27.9,32.4,4.5,15.6,19.2,3.6,18.5,29.3,10.8,3.917452762,4.267262963,4.113430868,5.267681896,5.404632468,6.134822564,1.137369505,15638,75382.46,29.60037381,8.25,35913.56089,12.42564011,63.29851894
District of Columbia,68900,31571,37329,6.924996136,26.57452489,19.64952875,3.072293741,13.22371686,10.15142312,93.62391223,64.00996783,29.6139444,2.1,14.8,12.7,9.8,35,25.2,325.5,7.7,24.3,16.6,1.9,3.5,1.6,7.9,31.5,23.6,4.4,19.2,14.8,10.9,30.1,19.2,2.336090381,4.271492029,5.41847543,7.622269855,7.649899584,9.511937285,3.378407555,22758,188788.41,,11.5,50627.12788,17.31901628,78.81355228
Florida,32279,23321,8958,11.02975076,25.1533853,14.12363454,5.949461158,11.50238681,5.552925652,67.20379471,53.31459099,13.88920372,11.8,13.4,1.6,25.9,35.3,9.4,111.7,17.3,13.9,-3.4,9.5,16.2,6.7,23.6,33.6,10,16.4,20.2,3.8,18.6,32.8,14.2,4.100305642,3.830722039,2.881497543,5.449549796,5.322828588,5.092494655,1.492106548,9346,45943.47,10.21149536,8.1,29524.20667,15.70215376,61.41603193
Georgia,35263,25385,9878,11.09739755,24.8328364,13.73543885,5.226513411,11.07169406,5.845180649,66.607859,55.92264245,10.68521655,10.6,13.4,2.8,27.8,37.3,9.5,107.1,19,16.9,-2.1,10.1,14.6,4.5,24.3,31.5,7.2,16.7,19.7,3,19.3,36.7,17.4,3.611392367,4.241799556,3.507260609,4.827689862,5.340196817,5.42917342,1.098397261,10809,51676.61,4.111656939,5.15,31095.67811,17.04679958,60.66512464
Hawaii,40767,36059,4708,9.831586648,,,5.220930162,,,67.00210471,65.8074376,1.194667114,4.5,,,17.3,,,140.9,12.9,,,3.9,3.8,-0.1,16.2,,,9.8,,,14.3,,,,,,5.98582427,5.284588959,6.167660259,,15242,59422.9,56.57993173,9.25,35920.32163,10.61486055,58.45657821
